AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
2ba6f654-72a6-4276-a86d-d201718776ae,Mosquitoes,LivingAgent,38.288968,8.668945,true,304,ADULT,0.675,true,2548.0000,4.0000,2.41,0.1405,12.06,9,0
b16db7bd-5a1e-48e3-a8b9-7db1bceb6b20,Mosquitoes,LivingAgent,38.301135,8.639259,true,334,ADULT,0.726,false,2469.0000,0.0000,2.57,0.1539,12.10,5,0
2073864e-58c2-4735-92da-e81aef265b6e,Mosquitoes,LivingAgent,38.365717,8.590138,true,459,ADULT,0.878,false,2218.0000,0.0000,1.65,0.2767,11.16,5,0
6b6e4c66-51cc-4af9-83e6-9f027a66ff90,Mosquitoes,LivingAgent,38.287787,8.645470,true,525,ADULT,0.589,true,2468.0000,0.0000,6.23,0.1808,12.17,7,0
4dba744d-f39d-45fc-925a-ec0ded25b13f,Mosquitoes,LivingAgent,38.366120,8.637801,true,209,ADULT,0.623,false,2525.0000,1.0000,1.74,0.2234,12.30,3,0
07e1f262-67b9-4a5d-9e6e-401105f4b44a,Mosquitoes,LivingAgent,38.345152,8.612536,true,448,ADULT,0.633,true,2574.0000,21.0000,23.28,0.3040,11.15,5,0
cddcad28-d519-4ee2-9ef3-eb5afa8430a4,Mosquitoes,LivingAgent,38.287020,8.595256,true,351,ADULT,0.654,false,2536.0000,0.0000,1.87,0.2504,11.78,6,0
6ea6f525-9846-4f49-96c2-342eb2dddf35,Mosquitoes,LivingAgent,38.373869,8.585748,true,346,ADULT,0.716,false,1993.0000,0.0000,4.13,0.3040,11.15,2,0
6ca07eb4-5b89-4ecf-9126-231869120cd4,Mosquitoes,LivingAgent,38.319071,8.674134,true,130,ADULT,0.899,false,2464.0000,0.0000,1.24,0.1817,12.29,8,0
b184e5cb-10df-4415-a7b6-ddb3610f214f,Mosquitoes,LivingAgent,38.309587,8.665881,true,313,ADULT,0.967,true,2457.0000,0.0000,2.46,0.1817,12.29,3,0
2e0ad1df-cbca-4559-912f-69a8e1f072ba,Mosquitoes,LivingAgent,38.332100,8.671981,true,337,ADULT,0.549,false,2493.0000,0.0000,4.41,0.2242,12.40,6,0
89ef62a6-3b7d-4954-9cdd-f96410baf821,Mosquitoes,LivingAgent,38.355799,8.622101,true,250,ADULT,0.707,true,2469.0000,0.0000,5.62,0.3052,11.13,3,0
f83a80a2-ae03-4895-a482-d552e68e6011,Mosquitoes,LivingAgent,38.282145,8.622640,true,197,ADULT,0.622,false,2556.0000,0.0000,3.04,0.2514,11.81,2,0
3c783201-a500-40e3-b86a-87ddaa8283ae,Mosquitoes,LivingAgent,38.322153,8.633992,true,337,ADULT,0.972,true,2647.0000,0.0000,3.74,0.1834,12.53,6,0
e17838a4-1479-4893-97e6-f4c78f54d570,Mosquitoes,LivingAgent,38.310644,8.584372,true,153,ADULT,0.723,false,2519.0000,0.0000,0.88,0.2524,11.85,6,0
b21583f2-32b4-418f-b602-6053f4160c03,Mosquitoes,LivingAgent,38.342013,8.665163,true,573,ADULT,0.504,false,2619.0000,11.0000,9.73,0.2257,12.60,5,0
1a9a77fb-436a-4525-9678-0cf820eaf21b,Mosquitoes,LivingAgent,38.314652,8.597549,true,548,ADULT,0.583,false,2543.0000,1.0000,1.48,0.2534,12.00,6,0
4083fbe2-c848-4937-9197-dbaee82088a2,Mosquitoes,LivingAgent,38.302808,8.626700,true,522,ADULT,0.973,false,2556.0000,0.0000,3.37,0.1844,12.78,5,0
ff042f0b-c319-465c-96b4-55a80f7c9d32,Mosquitoes,LivingAgent,38.344900,8.600427,true,209,ADULT,0.633,true,2570.0000,12.0000,8.17,0.3075,11.33,5,0
beb7bf4b-2159-4e3d-9c9c-7610f305b123,Mosquitoes,LivingAgent,38.315384,8.624958,true,317,ADULT,0.670,false,2694.0000,0.0000,3.06,0.2534,12.35,4,0
89703620-4a19-4541-8ff8-af0f6c1a2d11,Mosquitoes,LivingAgent,38.375845,8.610285,true,532,ADULT,0.526,false,2163.0000,0.0000,1.25,0.3075,11.41,6,0
eaf98cc3-1134-4987-8aa0-c3f66cd0e03c,Mosquitoes,LivingAgent,38.286513,8.643037,true,506,ADULT,0.588,false,2462.0000,0.0000,5.59,0.1848,13.34,2,0
2fda72a0-e1da-42c0-a4ef-5122daab940a,Mosquitoes,LivingAgent,38.334597,8.655248,true,415,ADULT,0.559,false,2607.0000,4.0000,6.89,0.2261,13.22,4,0
a02d2104-ef61-4c02-b246-a86937ba31bf,Mosquitoes,LivingAgent,38.285635,8.610453,true,382,ADULT,1.000,false,2635.0000,6.0000,3.58,0.2539,13.34,4,0
5a48ed50-3b5d-4caa-9973-1c3dc236e02d,Mosquitoes,LivingAgent,38.377252,8.641278,true,567,ADULT,0.860,true,2671.0000,0.0000,2.46,0.2264,14.17,4,0
83635e02-19a9-46f3-90ee-85e01818ee42,Mosquitoes,LivingAgent,38.294678,8.603869,true,160,ADULT,0.746,true,2532.0000,0.0000,2.10,0.2543,14.33,5,0
eb8a955a-a7f4-476d-8ccc-1bbbf3d71de0,Mosquitoes,LivingAgent,38.343120,8.663333,true,144,ADULT,0.682,false,2590.0000,0.0000,8.62,0.2305,15.13,3,0
5c485477-984c-48fb-bcfa-a10aff1ecb87,Mosquitoes,LivingAgent,38.338101,8.653434,true,155,ADULT,0.783,false,2580.0000,5.0000,3.90,0.2345,15.61,4,0
70591c48-ac17-4742-b439-debb6c088803,Mosquitoes,LivingAgent,38.366879,8.647229,true,494,ADULT,0.665,true,2528.0000,0.0000,1.35,0.2345,15.61,3,0
b83b39b0-3fc9-46d4-bbef-588310b48412,Mosquitoes,LivingAgent,38.297705,8.614701,true,140,ADULT,0.526,false,2556.0000,0.0000,2.68,0.2659,15.70,3,0
5671c86b-07d9-42f6-9b03-ca4b1230821e,Mosquitoes,LivingAgent,38.331735,8.606622,true,179,ADULT,0.939,true,2565.0000,0.0000,4.81,0.3305,14.82,4,0
8c653190-d8db-46e3-968d-cee5ac726db7,Mosquitoes,LivingAgent,38.283488,8.583144,true,619,ADULT,0.763,false,2519.0000,0.0000,2.36,0.2697,16.16,2,0
b11e2eb6-de8e-41ed-9960-9d977591d90a,Mosquitoes,LivingAgent,38.353289,8.674404,true,581,ADULT,0.833,true,2667.0000,0.0000,2.25,0.2425,16.58,2,0
6a6124e0-56ae-47d6-8372-aa051299fa2b,Mosquitoes,LivingAgent,38.314369,8.619374,true,164,ADULT,0.929,false,2731.0000,0.0000,2.65,0.2697,16.16,4,0
2e9b6ae8-7c43-433c-846d-a5bc4e635194,Mosquitoes,LivingAgent,38.346535,8.596215,true,598,ADULT,0.790,false,2554.0000,0.0000,4.91,0.3654,15.78,7,0
da143735-b04d-4746-a992-391d65484aae,Mosquitoes,LivingAgent,38.352685,8.647312,true,557,ADULT,0.550,true,2515.0000,0.0000,1.76,0.2929,17.55,5,0
c91813ed-7b7e-4e4f-b5ff-0f7fbb386233,Mosquitoes,LivingAgent,38.338145,8.623726,true,615,ADULT,0.850,true,2568.0000,3.0000,14.22,0.4203,16.75,3,0
07c88228-5948-4998-9166-20723ebde233,Mosquitoes,LivingAgent,38.357207,8.649904,true,588,ADULT,0.678,false,2488.0000,0.0000,1.39,0.3182,18.04,4,0
d32a4502-18a5-4c48-b0a7-7ae36e00f5e3,Mosquitoes,LivingAgent,38.373646,8.661712,true,459,ADULT,0.571,true,2553.0000,0.0000,1.05,0.3434,18.53,5,0
f102d975-3bf3-41bd-8134-41e297ba0335,Mosquitoes,LivingAgent,38.288292,8.599011,true,142,ADULT,0.602,false,2530.0000,0.0000,2.08,0.4493,18.47,7,0
7965b88e-0ef1-4427-b467-e063f36aeeb4,Mosquitoes,LivingAgent,38.364699,8.594885,true,347,ADULT,0.511,true,2199.0000,0.0000,1.99,0.4874,17.60,4,0
2ec287be-fd3b-4227-a887-58fcf3a414c8,Mosquitoes,LivingAgent,38.354244,8.640519,true,154,ADULT,0.986,true,2495.0000,0.0000,3.57,0.4088,19.28,6,0
d94a983f-5f8f-4333-9788-8383422b048a,Mosquitoes,LivingAgent,38.371283,8.643867,true,154,ADULT,0.515,false,2631.0000,0.0000,1.67,0.4415,19.65,4,0
54530aed-12ce-4434-af6d-791ed95d1a4d,Mosquitoes,LivingAgent,38.337653,8.626479,true,293,ADULT,0.931,false,2573.0000,16.0000,14.33,0.6061,18.71,2,0
6f1ddfc0-8077-40d6-9e08-069f9d3413d0,Mosquitoes,LivingAgent,38.334357,8.651524,true,479,ADULT,0.897,false,2598.0000,5.0000,5.34,0.4984,20.28,6,0
bd95bf66-bd72-43ba-b7be-ef01d6d4c052,Mosquitoes,LivingAgent,38.368256,8.612974,true,625,ADULT,0.653,false,2105.0000,0.0000,1.79,0.6717,19.19,6,0
01601ca6-726f-4f09-ae2a-e8c94eb4cd2e,Mosquitoes,LivingAgent,38.311186,8.635070,true,397,ADULT,0.673,true,2547.0000,0.0000,2.27,0.5326,20.70,2,0
256aaece-c50c-4be0-8990-ceef45b67aad,Mosquitoes,LivingAgent,38.376314,8.597971,true,589,ADULT,0.666,false,1971.0000,0.0000,1.56,0.7046,19.43,4,0
c9632809-3343-4d0e-bc16-d0997647c07f,Mosquitoes,LivingAgent,38.310265,8.613111,true,147,ADULT,0.708,true,2718.0000,0.0000,2.14,0.8167,20.39,4,0
049c530e-c623-467f-bb1e-ed925c5651b3,Mosquitoes,LivingAgent,38.359791,8.639750,true,300,ADULT,0.788,false,2455.0000,0.0000,2.09,0.5760,21.19,3,0
e06fc09c-081d-4d0e-9048-ba2019198438,Mosquitoes,LivingAgent,38.355189,8.649703,true,610,ADULT,0.896,false,2499.0000,0.0000,1.44,0.5760,21.19,6,0
1ee33257-996f-4bdb-8818-081433fa822b,Mosquitoes,LivingAgent,38.327020,8.644211,true,293,ADULT,0.951,true,2601.0000,0.0000,4.35,0.5896,21.27,3,0
daf62deb-d8fa-4d1d-b38d-a0c64edda5de,Mosquitoes,LivingAgent,38.333310,8.588709,true,533,ADULT,0.655,false,2505.0000,0.0000,2.45,0.7580,20.01,6,0
a3cd360c-bd70-4329-8245-cf044f8738a7,Mosquitoes,LivingAgent,38.319149,8.663180,true,206,ADULT,0.569,true,2469.0000,0.0000,1.71,0.5896,21.27,6,0
47060db4-1c2d-4186-88cf-3ba376461c41,Mosquitoes,LivingAgent,38.361690,8.590918,true,145,ADULT,0.660,false,2242.0000,0.0000,1.66,0.7684,20.18,3,0
3747c60e-d018-4c92-9020-000bc4810497,Mosquitoes,LivingAgent,38.362361,8.633425,true,229,ADULT,0.788,false,2403.0000,1.0000,2.51,0.5858,21.55,5,0
0186f4fe-b3e1-4f1d-8200-b435d1de16fc,Mosquitoes,LivingAgent,38.314135,8.608786,true,602,ADULT,0.543,false,2615.0000,0.0000,1.76,0.8462,21.08,3,0
43580a9a-682a-4d89-88c5-d7e0d470549e,Mosquitoes,LivingAgent,38.355320,8.587872,true,331,ADULT,0.614,false,2298.0000,0.0000,2.62,0.7861,20.43,4,0
c58b3709-2b72-4810-9b95-88b2698da5cb,Mosquitoes,LivingAgent,38.374252,8.628018,true,315,ADULT,0.696,true,2471.0000,0.0000,1.48,0.5978,21.85,1,0
2c33d202-9b63-400e-a25f-2252f844f53d,Mosquitoes,LivingAgent,38.339060,8.594471,true,629,ADULT,0.827,false,2586.0000,5.0000,3.93,0.7935,20.51,10,0
d4b90fb0-d751-4880-8917-343bd73bbdc5,Mosquitoes,LivingAgent,38.364187,8.644196,true,590,ADULT,0.642,false,2503.0000,0.0000,1.30,0.6050,21.98,8,0
5c10dd4d-1ce4-4da3-97f6-62fa1c480352,Mosquitoes,LivingAgent,38.370584,8.631484,true,188,ADULT,0.927,false,2521.0000,1.0000,1.73,0.6078,21.93,4,0
8de8a5cf-9090-47e4-a59b-a250b7f013ba,Mosquitoes,LivingAgent,38.281978,8.579034,true,176,ADULT,0.587,false,2519.0000,0.0000,2.23,1.0167,21.25,8,0
1aa2ae2b-6fb4-450c-afb8-75e0368cebfb,Mosquitoes,LivingAgent,38.280436,8.644294,true,628,ADULT,0.888,true,2482.0000,0.0000,7.50,0.6754,21.61,4,0
9130526d-6b1e-4018-a573-32bd542e954d,Mosquitoes,LivingAgent,38.360922,8.579047,true,478,ADULT,0.931,true,2316.0000,0.0000,6.41,0.8230,20.47,4,0
9d8b9960-9140-45d4-82cd-ef721d5eeb51,Mosquitoes,LivingAgent,38.346246,8.669628,true,469,ADULT,0.791,false,2648.0000,0.0000,10.43,0.6165,21.76,4,0
274c80b5-ff3c-4639-b5ee-a556623a8beb,Mosquitoes,LivingAgent,38.292527,8.641485,true,550,ADULT,0.620,false,2447.0000,0.0000,2.93,0.6928,21.52,6,0
