AgentID,X,Y,Type,Status,PopDensity,TempC,Rain_mm
5088e780-68e8-4729-a78b-9311f9dc2caf,38.364443,8.582848,ADULT,true,3.23,25.00,0.0000
34e2792f-1c36-4d44-9356-a43ac6a16c87,38.297383,8.590705,ADULT,true,1.41,25.00,0.0000
047fe77c-f41c-4f63-a555-bbd9d9c23f46,38.340806,8.641569,ADULT,true,9.16,25.00,0.0000
30125704-326c-4436-a414-7ccdce9c8e39,38.330147,8.646706,ADULT,true,6.23,25.00,0.0000
0fd046a8-2f38-4a85-9497-dbbbf6bd8ff0,38.367432,8.652156,ADULT,true,1.30,25.00,0.0000
dd4c014f-ef0d-4bc9-adb0-9d049d50960f,38.328908,8.637825,ADULT,true,5.99,25.00,0.0000
d1672707-b898-4bd3-9327-c3f22c1282c1,38.356922,8.638384,ADULT,true,3.75,25.00,0.0000
26118dab-bb66-4cce-984c-c9a3981ef4c9,38.284262,8.606456,ADULT,true,4.15,25.00,0.0000
97e7a67b-ab1e-4f8c-ba3d-d5af2a9710c7,38.376344,8.652120,ADULT,true,1.25,25.00,0.0000
d260be5f-2d14-4aec-9ced-33675eae484f,38.361609,8.578342,ADULT,true,7.45,25.00,0.0000
dc70114e-8557-4500-ae9b-33401335e88a,38.367284,8.673223,ADULT,true,1.19,25.00,0.0000
4662c34c-c72d-4ec0-948f-d366158b396d,38.353415,8.597753,ADULT,true,2.80,25.00,0.0000
5d400dd6-0bad-4acc-9ad6-e262f323627b,38.291496,8.638180,ADULT,true,3.25,25.00,0.0000
58a62044-05ca-424e-872f-cc92b08665b7,38.371692,8.642220,ADULT,true,2.01,25.00,0.0000
efa10823-b27d-4575-b380-b1e2e5796c94,38.372488,8.604367,ADULT,true,2.08,25.00,0.0000
2eaf68ef-76b6-4bd4-8e16-eca820c04913,38.303684,8.617321,ADULT,true,2.68,25.00,0.0000
a9d568b5-7ef7-4216-8706-d90fbe6316a5,38.290331,8.669584,ADULT,true,2.57,25.00,0.0000
30ebcf44-159f-4c6e-af28-1b996fd903b0,38.373303,8.627105,ADULT,true,1.70,25.00,0.0000
34510ae0-f96c-455a-b7e5-a5c9228a4b9e,38.377999,8.577358,ADULT,true,2.68,25.00,0.0000
a834ca56-fad0-4850-9b36-a73971114e05,38.287294,8.617940,ADULT,true,3.04,25.00,0.0000
1b978330-3066-4df1-a7ab-39bce9a2c8ce,38.299689,8.576988,ADULT,true,1.35,25.00,0.0000
