AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
b11e2eb6-de8e-41ed-9960-9d977591d90a,Mosquitoes,LivingAgent,38.353289,8.674404,true,785,ADULT,0.833,true,2667.0000,0.0000,2.25,0.2359,21.02,2,0
6a6124e0-56ae-47d6-8372-aa051299fa2b,Mosquitoes,LivingAgent,38.314369,8.619374,true,368,ADULT,0.929,false,2731.0000,0.0000,2.65,0.1785,20.74,4,0
2e9b6ae8-7c43-433c-846d-a5bc4e635194,Mosquitoes,LivingAgent,38.346535,8.596215,true,802,ADULT,0.790,false,2554.0000,0.0000,4.91,0.1718,19.85,7,0
da143735-b04d-4746-a992-391d65484aae,Mosquitoes,LivingAgent,38.352685,8.647312,true,761,ADULT,0.550,true,2515.0000,0.0000,1.76,0.2865,21.44,5,0
c91813ed-7b7e-4e4f-b5ff-0f7fbb386233,Mosquitoes,LivingAgent,38.338145,8.623726,true,819,ADULT,0.850,true,2568.0000,3.0000,14.22,0.2012,20.13,3,0
07c88228-5948-4998-9166-20723ebde233,Mosquitoes,LivingAgent,38.357207,8.649904,true,792,ADULT,0.678,false,2488.0000,0.0000,1.39,0.3053,21.58,4,0
d32a4502-18a5-4c48-b0a7-7ae36e00f5e3,Mosquitoes,LivingAgent,38.373646,8.661712,true,661,ADULT,0.571,true,2553.0000,0.0000,1.05,0.3053,21.58,5,0
f102d975-3bf3-41bd-8134-41e297ba0335,Mosquitoes,LivingAgent,38.288292,8.599011,true,344,ADULT,0.602,false,2530.0000,0.0000,2.08,0.2208,21.13,7,0
7965b88e-0ef1-4427-b467-e063f36aeeb4,Mosquitoes,LivingAgent,38.364699,8.594885,true,549,ADULT,0.511,true,2199.0000,0.0000,1.99,0.2012,20.13,4,0
2ec287be-fd3b-4227-a887-58fcf3a414c8,Mosquitoes,LivingAgent,38.354244,8.640519,true,356,ADULT,0.986,true,2495.0000,0.0000,3.57,0.3053,21.58,6,0
