TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m,Day
500,16ec7a7d-29dc-4097-addc-bebc2b196050,Mosquitoes,LivingAgent,9.580777,41.851129,1,1597,ADULT,0.57,0,0,0,0.0,1,3,0,1850.561,0.4421,0.49,0.0,28.69,5.208333333333333
300,c924f19b-db1c-4492-9cb5-3f40408a1c8d,Mosquitoes,LivingAgent,9.590202,41.860426,1,53,ADULT,0.384,0,0,0,0.0,1,1,0,1918.9049,0.6702,0.63,0.0,27.58,3.125
100,83021120-646e-40e3-b346-ce9aa3b28efc,Mosquitoes,LivingAgent,9.633766,41.852242,1,914,LARVA,0.658,0,0,0,0.0,0,0,0,1900.849,0.3522,0.29,0.0003,30.82,1.0416666666666667
300,7e4637a1-2c34-4f87-a91d-003e4efaf6e6,Mosquitoes,LivingAgent,9.603544,41.870702,1,878,ADULT,0.388,1,0,0,0.0,1,2,0,1513.579,0.6973,0.68,0.0,24.03,3.125
400,d0dc0c01-6887-43be-a310-c3019a799a83,Mosquitoes,LivingAgent,9.60661,41.867331,1,709,ADULT,0.71,0,0,0,0.0,0,0,80,1565.6635,0.7764,0.65,0.0,25.2,4.166666666666667
600,8d3ac825-7192-41fe-ad1f-624d043054d0,Mosquitoes,LivingAgent,9.585588,41.833015,1,438,ADULT,0.597,1,0,0,0.0,0,0,82,1920.297,0.3159,0.39,0.0,31.68,6.25
100,d210fe12-a4e9-4ead-a65d-b43b250ddcce,Mosquitoes,LivingAgent,9.587179,41.867867,1,647,LARVA,0.634,0,0,0,0.0,0,0,0,2070.316,0.5335,0.61,0.0,23.69,1.0416666666666667
200,e5a30f15-93a8-4aa0-98c9-6227c3fc72db,Mosquitoes,LivingAgent,9.579508,41.849937,1,470,ADULT,0.783,0,0,0,0.0,0,0,0,1801.8129,0.4176,0.47,0.286,25.16,2.0833333333333335
200,0b44f257-30d9-497e-8229-75d0af6c7bc6,Mosquitoes,LivingAgent,9.571801,41.853073,1,477,LARVA,0.674,0,0,0,0.0,0,0,0,1945.9673,0.2557,0.27,0.286,25.16,2.0833333333333335
600,c250a132-939f-4267-96b8-1f3aed932496,Mosquitoes,LivingAgent,9.619764,41.846625,1,1517,ADULT,0.641,1,0,0,0.0,0,0,12,1876.7904,0.6,0.55,0.0,31.08,6.25
600,8e67d799-a181-4fe1-a87a-955ab233a8fc,Mosquitoes,LivingAgent,9.60152,41.887329,1,308,LARVA,0.827,0,0,0,0.0,0,0,0,2214.3276,0.3352,0.29,0.0,31.08,6.25
400,2b72899c-9eda-4afd-8844-fc4ed4a81cdd,Mosquitoes,LivingAgent,9.618711,41.839262,1,283,PUPA,0.661,0,0,0,0.0,0,0,0,1893.5164,0.5,0.55,0.0,27.73,4.166666666666667
100,64983b94-c99d-43e0-966f-924f034eebf5,Mosquitoes,LivingAgent,9.581562,41.877137,1,201,PUPA,0.553,0,0,0,0.0,0,0,0,2205.4595,0.3188,0.27,0.0,22.93,1.0416666666666667
300,45801e5a-1061-4730-af3f-b53d99873e68,Mosquitoes,LivingAgent,9.621355,41.87316,1,747,LARVA,0.813,0,0,0,0.0,0,0,0,2214.7905,0.4909,0.45,0.0,26.31,3.125
300,cbcc23dd-3907-4338-852a-83c2a0b10f71,Mosquitoes,LivingAgent,9.596974,41.832071,1,656,ADULT,0.35,0,0,0,0.0,0,5,39,2240.7785,0.4118,0.42,0.0,24.01,3.125
500,8ca86941-dc84-45e4-80f4-7320e857fb34,Mosquitoes,LivingAgent,9.583909,41.85005,1,162,PUPA,0.758,0,0,0,0.0,0,0,0,1895.2362,0.513,0.51,0.0,29.95,5.208333333333333
100,8758d916-2d2e-405c-bba8-0f2df51106bb,Mosquitoes,LivingAgent,9.604486,41.854902,1,296,ADULT,0.383,0,0,0,0.0,0,0,0,1957.0182,0.9553,0.91,0.0,27.41,1.0416666666666667
600,14337726-e26b-4a70-b3a6-cb6ded88c8e7,Mosquitoes,LivingAgent,9.62558,41.86688,1,523,ADULT,0.743,0,0,0,0.0,0,0,87,2418.1037,0.4901,0.41,0.0,31.68,6.25
